pr_id,comment_id,source,author_login,actor_class,is_pr_author,is_study_author,eligible_as_independent_gold_candidate,is_process_only,text,path,class,atomic_issue_id,in_reference_set
1300,4932969439,review_body,burma-shave,human,false,false,true,true,merge main and fix conflicts,,,1300-008,false
1300,4977470107,review_body,burma-shave,human,false,false,true,true,conflicts need to be resolved again,,,1300-010,false
1300,5161962733,review_body,burma-shave,human,false,false,true,true,,,,1300-011,false
